# postcode distance_miles
CR3 62.5444381514 
CR4 55.4304489137 
CR5 61.3788849121 
CR6 60.9015410156 
CR7 55.4372442175 
CR8 59.4830211953 
CT1 73.1156434999 
CT10 77.4612847208 
CT11 78.3247607352 
CT12 76.7609653277 
CT13 79.6562974835 
CT14 83.9593777241 
CT15 83.8954885879 
CT16 86.1146067717 
CT17 86.667353771 
CT18 84.232926033 
CT19 86.2270415753 
CT2 72.0599194625 
CT20 86.6887950439 
CT21 85.2912330233 
CT3 76.0221814601 
CT4 75.7965362621 
CT5 67.5093180424 
CT6 69.1405398971 
CT7 73.2644569918 
CT8 73.9239560608 
CT9 75.2199978086 
CV1 73.73981333 
CV10 75.5124684252 
CV11 73.4992580365 
CV12 73.4018674104 
CV13 74.2411428697 
CV2 72.1598698613 
CV21 63.4981207359 
CV22 63.8661415909 
CV23 64.8166618017 
CV3 72.4670122796 
CV31 73.1127895879 
CV32 73.4817173432 
CV33 71.3106862755 
CV34 75.4661762771 
CV35 75.9164273921 
CV36 77.6091119155 
CV37 80.8826965367 
CV4 75.9784539463 
CV47 67.0236936433 
CV5 75.5888304845 
CV6 74.0710686665 
CV7 76.5645457678 
CV8 74.5070962171 
CV9 79.1804681028 
CW1 127.625689858 
CW10 131.011396412 
CW11 126.486588767 
CW12 121.935102235 
CW2 127.332205971 
CW3 123.271232896 
CW4 128.220346351 
CW5 129.484154574 
CW6 138.047014299 
CW7 133.934573637 
CW8 137.535518276 
CW9 135.540771234 
DA1 50.4075021402 
DA10 50.8596143068 
DA11 51.7782067876 
DA12 52.4806048087 
DA13 55.3478859193 
DA14 52.0259018047 
DA15 51.0301054972 
DA16 49.3471518954 
DA17 47.6672960819 
DA18 47.3302982567 
DA2 51.4717481548 
DA3 54.9279231657 
DA4 54.3028870439 
DA5 50.9190641417 
DA6 49.8931796908 
DA7 49.1212678157 
DA8 48.4672475282 
DA9 50.5475581791 
DD1 322.771003311 
DD10 333.221506259 
DD11 324.223079695 
DD2 324.140014267 
DD3 324.267276136 
DD4 323.427416039 
DD5 322.036968301 
DD6 320.432795684 
DD7 321.4553477 
DD8 334.242985455 
DD9 336.459166141 
DE1 87.0135603084 
DE11 84.4126292831 
DE12 82.8385041465 
DE13 90.5052935054 
DE14 88.63716431 
DE15 87.2619218578 
DE21 86.0940068915 
DE22 88.290923046 
DE23 86.9088217998 
DE24 84.9974799294 
DE3 88.8089800662 
DE4 98.8106518513 
DE45 106.325782937 
DE5 89.9692545819 
DE55 91.6611192727 
DE56 91.2653334413 
DE6 98.1883365632 
DE65 89.6977733587 
DE7 84.1906081932 
DE72 82.035696033 
DE73 82.7741560395 
DE74 79.0254676678 
DE75 87.0062151868 
DG1 253.227089501 
DG10 263.329544659 
DG11 249.486898776 
DG12 240.612821705 
DG13 245.770489841 
DG14 239.521563368 
DG16 236.658928995 
DG2 254.748781679 
DG3 267.500514241 
DG4 278.713079722 
DG5 251.322657311 
DG6 253.867076936 
DG7 259.139632278 
DG8 268.958951932 
DG9 284.517677895 
DH1 194.154614988 
DH2 199.677184026 
DH3 199.994729819 
DH4 197.70786969 
DH5 195.254680025 
DH6 190.824194454 
DH7 196.267143267 
DH8 203.396672374 
DH9 201.914510439 
DL1 177.751220774 
DL10 173.246465555 
DL11 178.325010529 
DL12 188.512761555 
DL13 196.674463077 
DL14 188.005316101 
DL15 192.284218518 
DL16 189.538462885 
DL17 187.376615582 
DL2 178.785033929 
DL3 178.446085283 
DL4 185.829714277 
DL5 183.898271046 
DL6 165.29177553 
DL7 164.844799498 
DL8 167.774492319 
DL9 171.218032022 
DN1 108.215622972 
DN10 98.6754827683 
DN11 103.015088202 
DN12 107.976958074 
DN14 115.905880688 
DN15 105.456327508 
DN16 102.325987349 
DN17 103.477186913 
DN18 107.341176009 
DN19 106.769594048 
DN2 108.298432136 
DN20 99.8892367346 
DN21 93.7106971748 
DN22 92.1216662723 
DN3 108.193718983 
DN31 97.0821466312 
DN32 96.4504817183 
DN33 95.080038161 
DN34 96.32640943 
DN35 95.8193588469 
DN36 92.8007129833 
DN37 95.3623932897 
DN38 98.8176071815 
DN39 102.023550931 
DN4 107.098751233 
DN40 101.408171674 
DN41 98.6158199556 
DN5 110.025519586 
DN6 113.59950208 
DN7 109.510652179 
DN8 110.378475394 
DN9 102.554111464 
DT1 152.188718048 
DT10 138.401613721 
DT11 136.863211078 
DT2 150.842680919 
DT3 156.336192132 
DT4 157.811591961 
DT5 160.07936669 
DT6 162.047956008 
DT7 168.362979381 
DT8 158.165132546 
DT9 144.474441157 
DY1 99.6090330503 
DY10 103.389624296 
DY11 104.934751707 
DY12 107.791275396 
DY13 105.380782852 
DY14 113.344898932 
DY2 98.6527080358 
DY3 101.140860926 
DY4 98.0958382337 
DY5 100.166163682 
DY6 102.150330065 
DY7 104.219532504 
DY8 101.236476965 
DY9 99.6087911302 
E1 46.7821170586 
E10 42.9148621522 
E11 42.704640559 
E12 43.6693155502 
E13 45.4091040487 
E14 47.1781809405 
E15 44.7616869766 
E16 46.5090268397 
E17 41.7594785466 
E18 40.9738081947 
E1W 47.388514632 
E2 46.0040748435 
E3 45.7363785886 
E4 39.1813491575 
E5 43.9069060279 
E6 45.3035099386 
E7 44.0363821457 
E8 45.1610808661 
E9 44.8856854996 
EC1 46.8453190867 
EC1A 47.0567337127 
EC1M 46.9786569199 
EC1N 47.114262175 
EC1R 46.8363301158 
EC1V 46.588446638 
EC1Y 46.7439517173 
EC2 46.9004777986 
EC2A 46.6563344042 
EC2M 47.0018000569 
EC2N 47.1357013064 
EC2R 47.1339093958 
EC2V 47.211744514 
EC2Y 46.9777146062 
EC3 47.3046904675 
EC3A 47.1495122718 
EC3M 47.3717135774 
EC3N 47.2626538704 
EC3P 47.0339754779 
EC3R 47.3929207702 
EC3V 47.3366001384 
EC4 47.4342944658 
EC4A 47.3691548461 
EC4M 47.3563111359 
EC4N 47.3454590682 
EC4R 47.4574128037 
EC4V 47.4898232972 
EC4Y 47.5024331919 
EH1 295.027164169 
EH10 293.515273737 
EH11 295.105775041 
EH12 296.089603247 
EH13 293.389978877 
EH14 294.325081527 
EH15 293.220501288 
EH16 292.613106396 
EH17 291.437967691 
EH18 289.167007507 
EH19 288.66424674 
EH2 295.280369985 
EH20 289.994262697 
EH21 291.576543265 
EH22 288.505994189 
